** CONVERTED FROM SR3.edf using edfapi 3.1 Win32 Jul  4 2014 on Fri May 10 12:27:53 2024
** DATE: Fri May 10 12:34:07 2024
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.48 Nov 25 2009
** CAMERA: EyeLink CL-OL HEAD Version 1.0 Sensor=BJC
** SERIAL NUMBER: CLO-ZAA25
** CAMERA_CONFIG: ZAA25140.SCD
**

MSG	4333200 RECCFG CR 250 2 2 R
MSG	4333200 ELCLCFG MLRR
MSG	4333200 GAZE_COORDS 0.00 0.00 1024.00 768.00
MSG	4333200 THRESHOLDS R 56 172
MSG	4333200 ELCL_PROC ELLIPSE  (5)
MSG	4333200 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	4333201 !MODE RECORD CR 250 2 2 R
START	4333206 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	HREF	RIGHT	RATE	 250.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	 250.00	TRACKING	CR	FILTER	2
INPUT	4333206	255
SFIX R   4333206
4333990	  510.9	  382.9	 1000.0	...
4333994	  510.9	  382.9	 1000.0	...
4333998	  510.9	  382.9	 1000.0	...
4334002	  510.9	  382.9	 1000.0	...
4334006	  510.9	  382.9	 1000.0	...
4334010	  510.9	  382.9	 1000.0	...
4334014	  510.9	  382.9	 1000.0	...
4334018	  510.9	  382.9	 1000.0	...
4334022	  510.9	  382.9	 1000.0	...
4334026	  510.9	  382.9	 1000.0	...
4334030	  510.9	  382.9	 1000.0	...
4334034	  510.9	  382.9	 1000.0	...
4334038	  510.9	  382.9	 1000.0	...
4334042	  510.9	  382.9	 1000.0	...
4334046	  510.9	  382.9	 1000.0	...
4334050	  510.9	  382.9	 1000.0	...
4334054	  510.9	  382.9	 1000.0	...
4334058	  510.9	  382.9	 1000.0	...
4334062	  510.9	  382.9	 1000.0	...
4334066	  510.9	  382.9	 1000.0	...
4334070	  510.9	  382.9	 1000.0	...
4334074	  510.9	  382.9	 1000.0	...
4334078	  510.9	  382.9	 1000.0	...
4334082	  510.9	  382.9	 1000.0	...
4334086	  510.9	  382.9	 1000.0	...
4334090	  510.9	  382.9	 1000.0	...
4334094	  510.9	  382.9	 1000.0	...
4334098	  510.9	  382.9	 1000.0	...
4334102	  510.9	  382.9	 1000.0	...
4334106	  510.9	  382.9	 1000.0	...
4334110	  510.9	  382.9	 1000.0	...
4334114	  510.9	  382.9	 1000.0	...
4334118	  510.9	  382.9	 1000.0	...
4334122	  510.9	  382.9	 1000.0	...
4334126	  510.9	  382.9	 1000.0	...
4334130	  510.9	  382.9	 1000.0	...
4334134	  510.9	  382.9	 1000.0	...
4334138	  510.9	  382.9	 1000.0	...
4334142	  510.9	  382.9	 1000.0	...
4334146	  510.9	  382.9	 1000.0	...
4334150	  510.9	  382.9	 1000.0	...
4334154	  510.9	  382.9	 1000.0	...
4334158	  510.9	  382.9	 1000.0	...
4334162	  510.9	  382.9	 1000.0	...
4334166	  510.9	  382.9	 1000.0	...
4334170	  510.9	  382.9	 1000.0	...
4334174	  510.9	  382.9	 1000.0	...
4334178	  510.9	  382.9	 1000.0	...
4334182	  510.9	  382.9	 1000.0	...
4334186	  510.9	  382.9	 1000.0	...
4334190	  510.9	  382.9	 1000.0	...
4334194	  510.9	  382.9	 1000.0	...
4334198	  510.9	  382.9	 1000.0	...
4334202	  510.9	  382.9	 1000.0	...
4334206	  510.9	  382.9	 1000.0	...
4334210	  510.9	  382.9	 1000.0	...
4334214	  510.9	  382.9	 1000.0	...
4334218	  510.9	  382.9	 1000.0	...
4334222	  510.9	  382.9	 1000.0	...
4334226	  510.9	  382.9	 1000.0	...
4334230	  510.9	  382.9	 1000.0	...
4334234	  510.9	  382.9	 1000.0	...
4334238	  510.9	  382.9	 1000.0	...
4334242	  510.9	  382.9	 1000.0	...
4334246	  510.9	  382.9	 1000.0	...
4334250	  510.9	  382.9	 1000.0	...
4334254	  510.9	  382.9	 1000.0	...
4334258	  510.9	  382.9	 1000.0	...
4334262	  510.9	  382.9	 1000.0	...
4334266	  510.9	  382.9	 1000.0	...
4334270	  510.9	  382.9	 1000.0	...
4334274	  510.9	  382.9	 1000.0	...
4334278	  510.9	  382.9	 1000.0	...
4334282	  510.9	  382.9	 1000.0	...
4334286	  510.9	  382.9	 1000.0	...
4334290	  510.9	  382.9	 1000.0	...
4334294	  510.9	  382.9	 1000.0	...
4334298	  510.9	  382.9	 1000.0	...
4334302	  510.9	  382.9	 1000.0	...
4334306	  510.9	  382.9	 1000.0	...
4334310	  510.9	  382.9	 1000.0	...
4334314	  510.9	  382.9	 1000.0	...
4334318	  510.9	  382.9	 1000.0	...
4334322	  510.9	  382.9	 1000.0	...
4334326	  510.9	  382.9	 1000.0	...
4334330	  510.9	  382.9	 1000.0	...
4334334	  510.9	  382.9	 1000.0	...
4334338	  510.9	  382.9	 1000.0	...
4334342	  510.9	  382.9	 1000.0	...
4334346	  510.9	  382.9	 1000.0	...
4334350	  510.9	  382.9	 1000.0	...
4334354	  510.9	  382.9	 1000.0	...
4334358	  510.9	  382.9	 1000.0	...
4334362	  510.9	  382.9	 1000.0	...
4334366	  510.9	  382.9	 1000.0	...
4334370	  510.9	  382.9	 1000.0	...
4334374	  510.9	  382.9	 1000.0	...
4334378	  510.9	  382.9	 1000.0	...
4334382	  510.9	  382.9	 1000.0	...
4334386	  510.9	  382.9	 1000.0	...
4334390	  510.9	  382.9	 1000.0	...
4334394	  510.9	  382.9	 1000.0	...
4334398	  510.9	  382.9	 1000.0	...
4334402	  510.9	  382.9	 1000.0	...
4334406	  510.9	  382.9	 1000.0	...
4334410	  510.9	  382.9	 1000.0	...
4334414	  510.9	  382.9	 1000.0	...
4334418	  510.9	  382.9	 1000.0	...
4334422	  510.9	  382.9	 1000.0	...
4334426	  510.9	  382.9	 1000.0	...
4334430	  510.9	  382.9	 1000.0	...
4334434	  510.9	  382.9	 1000.0	...
4334438	  510.9	  382.9	 1000.0	...
4334442	  510.9	  382.9	 1000.0	...
4334446	  510.9	  382.9	 1000.0	...
4334450	  510.9	  382.9	 1000.0	...
4334454	  510.9	  382.9	 1000.0	...
4334458	  510.9	  382.9	 1000.0	...
4334462	  510.9	  382.9	 1000.0	...
4334466	  510.9	  382.9	 1000.0	...
4334470	  510.9	  382.9	 1000.0	...
4334474	  510.9	  382.9	 1000.0	...
4334478	  510.9	  382.9	 1000.0	...
4334482	  510.9	  382.9	 1000.0	...
4334486	  510.9	  382.9	 1000.0	...
4334490	  510.9	  382.9	 1000.0	...
4334494	  510.9	  382.9	 1000.0	...
4334498	  510.9	  382.9	 1000.0	...
4334502	  510.9	  382.9	 1000.0	...
4334506	  510.9	  382.9	 1000.0	...
4334510	  510.9	  382.9	 1000.0	...
4334514	  510.9	  382.9	 1000.0	...
4334518	  510.9	  382.9	 1000.0	...
4334522	  510.9	  382.9	 1000.0	...
4334526	  510.9	  382.9	 1000.0	...
4334530	  510.9	  382.9	 1000.0	...
4334534	  510.9	  382.9	 1000.0	...
4334538	  510.9	  382.9	 1000.0	...
4334542	  510.9	  382.9	 1000.0	...
4334546	  510.9	  382.9	 1000.0	...
4334550	  510.9	  382.9	 1000.0	...
4334554	  510.9	  382.9	 1000.0	...
4334558	  510.9	  382.9	 1000.0	...
4334562	  510.9	  382.9	 1000.0	...
4334566	  510.9	  382.9	 1000.0	...
4334570	  510.9	  382.9	 1000.0	...
4334574	  510.9	  382.9	 1000.0	...
4334578	  510.9	  382.9	 1000.0	...
4334582	  510.9	  382.9	 1000.0	...
4334586	  510.9	  382.9	 1000.0	...
4334590	  510.9	  382.9	 1000.0	...
4334594	  510.9	  382.9	 1000.0	...
4334598	  510.9	  382.9	 1000.0	...
4334602	  510.9	  382.9	 1000.0	...
4334606	  510.9	  382.9	 1000.0	...
4334610	  510.9	  382.9	 1000.0	...
4334614	  510.9	  382.9	 1000.0	...
4334618	  510.9	  382.9	 1000.0	...
4334622	  510.9	  382.9	 1000.0	...
4334626	  510.9	  382.9	 1000.0	...
4334630	  510.9	  382.9	 1000.0	...
4334634	  510.9	  382.9	 1000.0	...
4334638	  510.9	  382.9	 1000.0	...
4334642	  510.9	  382.9	 1000.0	...
4334646	  510.9	  382.9	 1000.0	...
4334650	  510.9	  382.9	 1000.0	...
4334654	  510.9	  382.9	 1000.0	...
4334658	  510.9	  382.9	 1000.0	...
4334662	  510.9	  382.9	 1000.0	...
4334666	  510.9	  382.9	 1000.0	...
4334670	  510.9	  382.9	 1000.0	...
4334674	  510.9	  382.9	 1000.0	...
4334678	  510.9	  382.9	 1000.0	...
4334682	  510.9	  382.9	 1000.0	...
4334686	  510.9	  382.9	 1000.0	...
4334690	  510.9	  382.9	 1000.0	...
4334694	  510.9	  382.9	 1000.0	...
4334698	  510.9	  382.9	 1000.0	...
4334702	  510.9	  382.9	 1000.0	...
4334706	  510.9	  382.9	 1000.0	...
4334710	  510.9	  382.9	 1000.0	...
4334714	  510.9	  382.9	 1000.0	...
4334718	  510.9	  382.9	 1000.0	...
4334722	  510.9	  382.9	 1000.0	...
4334726	  510.9	  382.9	 1000.0	...
4334730	  510.9	  382.9	 1000.0	...
4334734	  510.9	  382.9	 1000.0	...
4334738	  510.9	  382.9	 1000.0	...
4334742	  510.9	  382.9	 1000.0	...
4334746	  510.9	  382.9	 1000.0	...
4334750	  510.9	  382.9	 1000.0	...
4334754	  510.9	  382.9	 1000.0	...
4334758	  510.9	  382.9	 1000.0	...
4334762	  510.9	  382.9	 1000.0	...
4334766	  510.9	  382.9	 1000.0	...
4334770	  510.9	  382.9	 1000.0	...
4334774	  510.9	  382.9	 1000.0	...
4334778	  510.9	  382.9	 1000.0	...
4334782	  510.9	  382.9	 1000.0	...
4334786	  510.9	  382.9	 1000.0	...
4334790	  510.9	  382.9	 1000.0	...
4334794	  510.9	  382.9	 1000.0	...
4334798	  510.9	  382.9	 1000.0	...
4334802	  510.9	  382.9	 1000.0	...
4334806	  510.9	  382.9	 1000.0	...
4334810	  510.9	  382.9	 1000.0	...
4334814	  510.9	  382.9	 1000.0	...
4334818	  510.9	  382.9	 1000.0	...
4334822	  510.9	  382.9	 1000.0	...
4334826	  510.9	  382.9	 1000.0	...
4334830	  510.9	  382.9	 1000.0	...
4334834	  510.9	  382.9	 1000.0	...
4334838	  510.9	  382.9	 1000.0	...
4334842	  510.9	  382.9	 1000.0	...
4334846	  510.9	  382.9	 1000.0	...
4334850	  510.9	  382.9	 1000.0	...
4334854	  510.9	  382.9	 1000.0	...
4334858	  510.9	  382.9	 1000.0	...
4334862	  510.9	  382.9	 1000.0	...
4334866	  510.9	  382.9	 1000.0	...
4334870	  510.9	  382.9	 1000.0	...
4334874	  510.9	  382.9	 1000.0	...
4334878	  510.9	  382.9	 1000.0	...
4334882	  510.9	  382.9	 1000.0	...
4334886	  510.9	  382.9	 1000.0	...
4334890	  510.9	  382.9	 1000.0	...
4334894	  510.9	  382.9	 1000.0	...
4334898	  510.9	  382.9	 1000.0	...
4334902	  510.9	  382.9	 1000.0	...
4334906	  510.9	  382.9	 1000.0	...
4334910	  510.9	  382.9	 1000.0	...
4334914	  510.9	  382.9	 1000.0	...
4334918	  510.9	  382.9	 1000.0	...
4334922	  510.9	  382.9	 1000.0	...
4334926	  510.9	  382.9	 1000.0	...
4334930	  510.9	  382.9	 1000.0	...
4334934	  510.9	  382.9	 1000.0	...
4334938	  510.9	  382.9	 1000.0	...
4334942	  510.9	  382.9	 1000.0	...
4334946	  510.9	  382.9	 1000.0	...
4334950	  510.9	  382.9	 1000.0	...
4334954	  510.9	  382.9	 1000.0	...
4334958	  510.9	  382.9	 1000.0	...
4334962	  510.9	  382.9	 1000.0	...
4334966	  510.9	  382.9	 1000.0	...
4334970	  510.9	  382.9	 1000.0	...
4334974	  510.9	  382.9	 1000.0	...
4334978	  510.9	  382.9	 1000.0	...
4334982	  510.9	  382.9	 1000.0	...
4334986	  510.9	  382.9	 1000.0	...
4334990	  510.9	  382.9	 1000.0	...
4334994	  510.9	  382.9	 1000.0	...
4334998	  510.9	  382.9	 1000.0	...
4335002	  510.9	  382.9	 1000.0	...
4335006	  510.9	  382.9	 1000.0	...
4335010	  510.9	  382.9	 1000.0	...
4335014	  510.9	  382.9	 1000.0	...
4335018	  510.9	  382.9	 1000.0	...
4335022	  510.9	  382.9	 1000.0	...
4335026	  510.9	  382.9	 1000.0	...
4335030	  510.9	  382.9	 1000.0	...
4335034	  510.9	  382.9	 1000.0	...
4335038	  510.9	  382.9	 1000.0	...
4335042	  510.9	  382.9	 1000.0	...
4335046	  510.9	  382.9	 1000.0	...
4335050	  510.9	  382.9	 1000.0	...
4335054	  510.9	  382.9	 1000.0	...
4335058	  510.9	  382.9	 1000.0	...
4335062	  510.9	  382.9	 1000.0	...
4335066	  510.9	  382.9	 1000.0	...
4335070	  510.9	  382.9	 1000.0	...
4335074	  510.9	  382.9	 1000.0	...
4335078	  510.9	  382.9	 1000.0	...
4335082	  510.9	  382.9	 1000.0	...
4335086	  510.9	  382.9	 1000.0	...
4335090	  510.9	  382.9	 1000.0	...
4335094	  510.9	  382.9	 1000.0	...
4335098	  510.9	  382.9	 1000.0	...
4335102	  510.9	  382.9	 1000.0	...
4335106	  510.9	  382.9	 1000.0	...
4335110	  510.9	  382.9	 1000.0	...
4335114	  510.9	  382.9	 1000.0	...
4335118	  510.9	  382.9	 1000.0	...
4335122	  510.9	  382.9	 1000.0	...
4335126	  510.9	  382.9	 1000.0	...
4335130	  510.9	  382.9	 1000.0	...
4335134	  510.9	  382.9	 1000.0	...
4335138	  510.9	  382.9	 1000.0	...
4335142	  510.9	  382.9	 1000.0	...
4335146	  510.9	  382.9	 1000.0	...
4335150	  510.9	  382.9	 1000.0	...
4335154	  510.9	  382.9	 1000.0	...
4335158	  510.9	  382.9	 1000.0	...
4335162	  510.9	  382.9	 1000.0	...
4335166	  510.9	  382.9	 1000.0	...
4335170	  510.9	  382.9	 1000.0	...
4335174	  510.9	  382.9	 1000.0	...
4335178	  510.9	  382.9	 1000.0	...
4335182	  510.9	  382.9	 1000.0	...
4335186	  510.9	  382.9	 1000.0	...
4335190	  510.9	  382.9	 1000.0	...
4335194	  510.9	  382.9	 1000.0	...
4335198	  510.9	  382.9	 1000.0	...
4335202	  510.9	  382.9	 1000.0	...
4335206	  510.9	  382.9	 1000.0	...
4335210	  510.9	  382.9	 1000.0	...
4335214	  510.9	  382.9	 1000.0	...
4335218	  510.9	  382.9	 1000.0	...
4335222	  510.9	  382.9	 1000.0	...
4335226	  510.9	  382.9	 1000.0	...
4335230	  510.9	  382.9	 1000.0	...
4335234	  510.9	  382.9	 1000.0	...
4335238	  510.9	  382.9	 1000.0	...
4335242	  510.9	  382.9	 1000.0	...
4335246	  510.9	  382.9	 1000.0	...
4335250	  510.9	  382.9	 1000.0	...
4335254	  510.9	  382.9	 1000.0	...
4335258	  510.9	  382.9	 1000.0	...
4335262	  510.9	  382.9	 1000.0	...
4335266	  510.9	  382.9	 1000.0	...
4335270	  510.9	  382.9	 1000.0	...
4335274	  510.9	  382.9	 1000.0	...
4335278	  510.9	  382.9	 1000.0	...
4335282	  510.9	  382.9	 1000.0	...
4335286	  510.9	  382.9	 1000.0	...
4335290	  510.9	  382.9	 1000.0	...
4335294	  510.9	  382.9	 1000.0	...
4335298	  510.9	  382.9	 1000.0	...
4335302	  510.9	  382.9	 1000.0	...
4335306	  510.9	  382.9	 1000.0	...
4335310	  510.9	  382.9	 1000.0	...
4335314	  510.9	  382.9	 1000.0	...
4335318	  510.9	  382.9	 1000.0	...
4335322	  510.9	  382.9	 1000.0	...
4335326	  510.9	  382.9	 1000.0	...
4335330	  510.9	  382.9	 1000.0	...
4335334	  510.9	  382.9	 1000.0	...
4335338	  510.9	  382.9	 1000.0	...
4335342	  510.9	  382.9	 1000.0	...
4335346	  510.9	  382.9	 1000.0	...
4335350	  510.9	  382.9	 1000.0	...
4335354	  510.9	  382.9	 1000.0	...
4335358	  510.9	  382.9	 1000.0	...
4335362	  510.9	  382.9	 1000.0	...
4335366	  510.9	  382.9	 1000.0	...
4335370	  510.9	  382.9	 1000.0	...
4335374	  510.9	  382.9	 1000.0	...
4335378	  510.9	  382.9	 1000.0	...
4335382	  510.9	  382.9	 1000.0	...
4335386	  510.9	  382.9	 1000.0	...
4335390	  510.9	  382.9	 1000.0	...
4335394	  510.9	  382.9	 1000.0	...
4335398	  510.9	  382.9	 1000.0	...
4335402	  510.9	  382.9	 1000.0	...
4335406	  510.9	  382.9	 1000.0	...
