** CONVERTED FROM SR2.edf using edfapi 3.1 Win32 Jul  4 2014 on Fri May 10 12:36:57 2024
** DATE: Fri May 10 12:43:14 2024
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.48 Nov 25 2009
** CAMERA: EyeLink CL-OL HEAD Version 1.0 Sensor=BJC
** SERIAL NUMBER: CLO-ZAA25
** CAMERA_CONFIG: ZAA25140.SCD
**

MSG	4890833 Scan start
MSG	4890839 RECCFG CR 250 2 2 R
MSG	4890839 ELCLCFG MLRR
MSG	4890839 GAZE_COORDS 0.00 0.00 1024.00 768.00
MSG	4890839 THRESHOLDS R 56 172
MSG	4890839 ELCL_PROC ELLIPSE  (5)
MSG	4890839 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	4890840 !MODE RECORD CR 250 2 2 R
START	4890846 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	HREF	RIGHT	RATE	 250.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	 250.00	TRACKING	CR	FILTER	2
INPUT	4890846	255
SFIX R   4890846
4891978	  510.9	  382.9	 1000.0	...
4891982	  510.9	  382.9	 1000.0	...
4891986	  510.9	  382.9	 1000.0	...
4891990	  510.9	  382.9	 1000.0	...
4891994	  510.9	  382.9	 1000.0	...
4891998	  510.9	  382.9	 1000.0	...
4892002	  510.9	  382.9	 1000.0	...
4892006	  510.9	  382.9	 1000.0	...
4892010	  510.9	  382.9	 1000.0	...
4892014	  510.9	  382.9	 1000.0	...
4892018	  510.9	  382.9	 1000.0	...
4892022	  510.9	  382.9	 1000.0	...
4892026	  510.9	  382.9	 1000.0	...
4892030	  510.9	  382.9	 1000.0	...
4892034	  510.9	  382.9	 1000.0	...
4892038	  510.9	  382.9	 1000.0	...
4892042	  510.9	  382.9	 1000.0	...
4892046	  510.9	  382.9	 1000.0	...
4892050	  510.9	  382.9	 1000.0	...
4892054	  510.9	  382.9	 1000.0	...
4892058	  510.9	  382.9	 1000.0	...
4892062	  510.9	  382.9	 1000.0	...
4892066	  510.9	  382.9	 1000.0	...
4892070	  510.9	  382.9	 1000.0	...
4892074	  510.9	  382.9	 1000.0	...
4892078	  510.9	  382.9	 1000.0	...
4892082	  510.9	  382.9	 1000.0	...
4892086	  510.9	  382.9	 1000.0	...
